139	753295,00	1039542,69	363,07	živice
140	753300,48	1039538,36	362,92	živice
141	753306,04	1039533,22	362,80	živice
142	753310,60	1039529,30	362,71	živice
143	753306,13	1039518,28	362,51	živice
144	753302,19	1039521,87	362,56	živice
145	753295,62	1039528,35	362,71	živice
146	753291,15	1039532,18	362,82	živice
147	753287,95	1039534,96	362,88	živice
148	753282,52	1039529,00	362,74	živice
149	753290,09	1039522,34	362,60	živice
150	753297,08	1039515,77	362,42	živice
151	753300,10	1039511,60	362,34	vpust
152	753303,79	1039508,44	362,41	živice
153	753297,52	1039501,38	362,24	živice
154	753294,52	1039503,96	362,18	živice
155	753290,69	1039501,56	362,11	vpust
156	753284,26	1039507,07	362,22	živice
157	753290,39	1039515,31	362,40	živice
158	753275,92	1039514,97	362,42	živice
159	753278,56	1039518,23	362,49	živice
160	753275,68	1039521,15	362,57	živice
161	753299,18	1039514,27	362,37	šachta
162	753300,91	1039512,69	362,35	vpust
163	753393,21	1039494,97	362,26	živice
164	753390,45	1039492,03	362,16	živice
165	753411,70	1039479,85	362,07	živice
166	753404,71	1039484,36	362,15	živice
167	753406,13	1039473,32	362,05	živice
168	753406,44	1039473,01	362,03	živice
169	753405,94	1039472,42	362,03	živice
170	753405,48	1039471,78	362,03	živice
171	753404,94	1039472,12	362,05	živice
172	753402,35	1039469,37	362,06	živice
173	753402,72	1039469,03	362,06	živice
174	753400,08	1039465,69	362,02	živice
175	753399,38	1039466,20	362,04	živice
176	753398,29	1039465,16	362,03	živice
177	753399,69	1039470,47	362,09	živice
178	753398,18	1039473,41	362,11	živice
179	753400,24	1039477,79	362,11	živice
180	753391,50	1039479,57	362,09	živice
181	753394,58	1039482,98	362,08	živice
182	753394,43	1039482,89	362,08	živice
183	753393,58	1039483,74	362,06	živice
184	753394,39	1039484,58	362,06	vpust
185	753395,69	1039486,56	362,14	živice
186	753395,02	1039486,48	362,12	živice
187	753388,93	1039487,68	362,08	živice
188	753388,90	1039488,15	362,06	živice
189	753388,80	1039488,57	362,08	vpust
190	753382,68	1039494,22	362,10	vpust
191	753378,03	1039498,17	362,13	živice
192	753381,55	1039498,82	362,18	živice
193	753334,51	1039538,12	362,42	živice
194	753334,59	1039533,09	362,43	živice
195	753333,72	1039530,03	362,45	živice
196	753332,06	1039527,67	362,47	živice
197	753333,77	1039523,12	362,42	živice
198	753324,51	1039513,06	362,53	živice
199	753321,32	1039515,97	362,62	živice
200	753311,14	1039498,46	362,59	živice
201	753308,96	1039502,41	362,68	živice
202	753305,05	1039496,30	362,61	živice
203	753301,92	1039488,84	362,44	živice
204	753302,19	1039488,67	362,45	živice
205	753388,63	1039526,42	362,73	živice
206	753316,42	1039550,26	362,64	živice
1141	753316,72	1039523,44	362,73	živice
1142	753309,95	1039514,74	362,57	živice
